oba	melko	Adv	Pcle
válgajahki	vaalivuosi	N	N
logijahki	vuosikymmen	N	N
doaibmavuohki	toimitapa	N	N
eallinvuohki	elämäntapa	N	N
bargovuohki	työtapa	N	N
ovttasbargovuohki	yhteistyömuoto	N	N
láhki	tapa	N	N
ássanbáiki	asuinpaikka	N	N
hearki	herkkä	A	A
riddodorski	rannikkoturska	N	N
lávki	sipuli	N	N
beali	puoli	Po	Pcle& N
sohkabealli	sukupuoli	N	N
boazodoalli	poronhoito	N	N
eallindilli	elämäntilanne	N	N
bargodilli	työolosuhde	N	N
boazodilli	porotilanne	N	N
olli	ulottuvuus	N	N
gulli	kuuntelija	N	N
lulli	etelä	N	N
stáhtačálli	valtionsihteeri	N	N
doaibmi	aktiivinen	A	A
submi	summa	N	N
rievdadeapmi	muutos	N	N
oahpponeavvoráhkadeapmi	opetusmateriaalin tekeminen	N	N
iskkadeapmi	tutkimus	N	N
ruhtadeapmi	rahoitus	N	N
buvttadeapmi	tuotanto	N	N
iešmearrideapmi	itsemäärääminen	N	N
gáržžideapmi	rajoitus	N	N
áššemeannudeapmi	asiankäsittely	N	N
vealaheapmi	sorto	N	N
geavaheapmi	käyttö	N	N
čađaheapmi	läpikäynti	N	N
heiveheapmi	sopeutuminen	N	N
lasiheapmi	lisäys	N	N
váikkuheapmi	vaikutus	N	N
almmuheapmi	julistaminen	N	N
suodjaleapmi	suojelu	N	N
geahččaleapmi	kokeilu& koe	N	N
ovdáneapmi	kehitys	N	N
servodatovdáneapmi	yhteiskuntakehitys	N	N
lassáneapmi	lisäys	N	N
hálddašeapmi	hallinto	N	N
eanahálddašeapmi	maanhallinta	N	N
gávppašeapmi	kaupanteko	N	N
oapmi	omistus	N	N
iešstivrejupmi	autonomia	N	N
bálkkašupmi	palkinto	N	N
mearkkašupmi	merkitys	N	N
fuomášupmi	huomautus, idea	N	N
nuortasápmi	itäsaamelainen	N	N
máttasápmi	eteläsaamelainen	N	N
lullisápmi	eteläsaamelainen	N	N
oarjelsápmi	länsisaamelainen	N	N
ovdamunni	etu	N	N
fylkkamánni	maaherra	N	N
fylkamánni	maaherra	N	N
ámtamánni	maaherra	N	N
dáhpi	tapa	N	N
mearri	määrä	N	N
áigemearri	aikamäärä	N	N
mihttomearri	tavoite	N	N
buorri	hyve	N	N
lassi	lisäys	N	N
siidaoassi	paliskunnan osa	N	N
teakstaoassi	tekstiosa	N	N
eananoassi	maanosa	N	N
váldooassi	valtaosa	N	N
jahkečuohti	vuosisata	N	N
alimusriekti	korkein oikeus	N	N
álbmotriekti	kansanoikeus	N	N
oassálasti	osallistuja	N	N
sihkkarasti	vahvistaa	N	V
