lihkkolohku	lykketall	onnenluku
meteorologiija	meteorologiija	
merren	merren	
merkejupmi	merkejupmi	
meridiánabázzi	meridiánabázzi	
mensa	menstruasjon	
mediaossodat	mediaossodat	
mearrasámevuohta	mearrasámevuohta	
mearranjiččehasráđđi	mearranjiččehasráđđi	
mearraguollebivdu	mearraguollebivdu	
mearradoalloealáhus	havbruksnæring	
mearraalbmáidbáhppa	mearraalbmáidbáhppa	
mearkaregister	mearkaregister	
mearariggodat	sjøressurs	
mearadoallu	havbruk	
meahcástankommišuvdna	meahcástankommišuvdna	
meahccemanni	meahccemanni	
meahcceeanagirjjálašvuohta	meahcceeanagirjjálašvuohta	
maŋŋebeaŋka	baksete	
maŋeščakča	maŋeščakča	
maŋebárga	maŋebárga	
matematihkkadiibmu	matematikktime	
marináda	marinade	
manuála	manuála	
mandoliidna	mandoliidna	
lášmmohallanapparáhtta	lášmmohallanapparáhtta	
lášmatvuohta	lášmatvuohta	
lávvolámpá	lávvolámpá	
lávvardataviisa	lávvardataviisa	
lávra	lávra	
lávlunartista	lávlunartista	
lávdu	lávdu	
látnji	látnji	
lássaráigi	lássaráigi	
lákkonjárggahas	lákkonjárggahas	
láira	leire	
láigoáigi	láigoáigi	
láigopánta	depositum	
láhttokárta	láhttokárta	
láhppin	láhppin	
láhkaduopmár	lagdommer	
lágádusdoarjja	forlagsstønad	
lágga	småsei	
luŋka	lem	
luvra	luvra	
lustu	lustu	
luottahuhttinbivdu	luottahuhttinbivdu	
luossačahca	luossačahca	
luossaluhtehas	luossaluhtehas	
luossalohkanstašuvdna	luossalohkanstašuvdna	
luossagovvenapparáhtta	luossagovvenapparáhtta	
luossadutkanstašuvdna	luossadutkanstašuvdna	
luondduláhka	naturlov	
luonddugaskavuohta	luonddugaskavuohta	
luondduduohtadeapmi	naturinngrep	
luonddudilálašvuohta	luonddudilálašvuohta	
luondduattus	naturalytelse	
luomedutki	luomedutki	
luohtedajaldat	luohtedajaldat	
luohkkáceahkki	klassetrinn	
luoddajohtolatláhka	vegtrafikkloven	
luoddajohtolat	vegtrafikk	
luoddagaska	vegstrekning	
luoddadiehtu	luoddadiehtu	
lulábealle	lulábealle	
lulliriika	lulliriika	
luhtat	luhtat	
luddestat	luddestat	
lovttaguolli	lutefisk	
lottečivga	lottečivga	
lotnolasealáhusvuohki	kombinasjonsnæringsform	
lotnolasdoallu	lotnolasdoallu	
lossodat	lossodat	
lossavuohta	lossavuohta	
lokatiiva	lokativ	
loikkasvuohta	loikkasvuohta	
loddemoahti	loddemoahti	
loahppasárdni	avslutningstale	
loahppajulggaštus	loahppajulggaštus	
loahppadutkkus	loahppadutkkus	
loahppadoarrun	loahppadoarrun	
liturga	liturga	
listoárvalus	listoárvalus	
liikosteapmi	forelskelse	
liigečoavdda	ekstragave	
liidneoaivi	liidneoaivi	
liibmalihtti	liibmalihtti	
lihkadanvejolašvuohta	bevegelsesmulighet	
liggu	liggu	
lieđđun	lieđđun	
liekkasmihttár	liekkasmihttár	
liehppi	klepp	
leŋge	seletøy	
leutnánta	leutnánta	
leaŋka	lenke	
learretta	lerret	
leahttorádjá	leahttorádjá	
latnjaossodat	latnjaossodat	
lassiášši	lassiášši	
lassidivat	lassidivat	
lassicealkka	lassicealkka	
lasseárvu	lasseárvu	
lassejuolludus	lassejuolludus	
lassejuolludeapmi	tilleggsbevilgning	
lassebuhtadus	lassebuhtadus	
lahttoorganisašuvdna	lahttoorganisašuvdna	
lahkasat	lahkasat	
labyrinta	labyrint	
kássaapparáhtta	kassaapparat	
kártá	kártá	
kártenláhka	kártenláhka	
kártavuođđu	kártavuođđu	
kántursadji	kántursadji	
kánttorbargi	kánttorbargi	
kántorsadji	kántorsadji	
kámmir	kámmir	
káktus	káktus	
kvarteahtta	kvarteahtta	
kvalitehtagielddaprográmma	kvalitehtagielddaprográmma	
kurdarbearaš	kurdarbearaš	
kulturmuitopolitihkka	kulturminnespolitikk	
kulturláhka	kulturláhka	
kulturgullevašvuohta	kulturgullevašvuohta	
kulturgirku	kulturgirku	
kritihkar	kritihkar	
kristtalašrussa	kristtalašrussa	
kreatsa	kreatsa	
korállacoahki	korállacoahki	
korintalaš	korintalaš	
koordinašuvdna	koordinasjon	
konvenšunbargu	konvenšunbargu	
kontonummár	kontonummár	
konsultašuvdnaproseassa	konsultašuvdnaproseassa	
konsultašuvdnageatnegasvuohta	konsultašuvdnageatnegasvuohta	
konsuleantavirgi	konsuleantavirgi	
konsentrašunváttisvuohta	konsentrašunváttisvuohta	
konjunktuvra	konjunktur	
konfirmašunipmilbálvalus	konfirmašunipmilbálvalus	
kommunikašuvdnateknologiija	kommunikašuvdnateknologiija	
kolonna	kolonna	
kolihkka	kolikk	
kodisilla	kodisilla	
knohpa	knohpa	
klubbalatnja	klubbalatnja	
kirkošillju	kirkošillju	
kirkostallan	kirkostallan	
kirkogirji	kirkogirji	
kirkodulka	kirkodulka	
kilowattdiibmu	kilowattdiibmu	
kilográmma	kilográmma	
keallártráhppá	keallártráhppá	
keallirásodat	keallirásodat	
katalysáhtor	katalysator	
kasserola	kasserolle	
kantuvrabargi	kantuvrabargi	
kanohta	kanohta	
kannibalisma	kannibalisme	
kandidáhttaevttohus	kandidáhttaevttohus	
kameraderiija	kameraderi	
kalsium	kalsium	
jávohisvuođageasku	taushetsplikt	
jáldu	svalt_vinddrag	
jábálašvuohta	jábálašvuohta	
juvssus	juvssus	
juvddálašvuohta	juvddálašvuohta	
justiisa	justiisa	
jurdilmeahttunvuohta	jurdilmeahttunvuohta	
juovlastáloriika	juovlastáloriika	
juovlaruohttabeaivi	juovlaruohttabeaivi	
juovlaruohtabeaivi	juovlaruohtabeaivi	
juovlaipmilbálvalus	juovlaipmilbálvalus	
juovlaerttet	juovlaerttet	
juovladearvuohta	juovladearvuohta	
juoigandronnet	juoigandronnet	
juohkášupmi	juohkášupmi	
juohkinvuoiggalašvuohta	juohkinvuoiggalašvuohta	
juohkašupmi	juohkašupmi	
juksanáigumuš	juksanáigumuš	
juhkanklássa	juhkanklássa	
jođánisvuohta	jođánisvuohta	
jođiheaddjedoaibma	jođiheaddjedoaibma	
jođihangelbbolašvuohta	jođihangelbbolašvuohta	
jođihanbušeahtta	markedsføringsbudsjett	
jođahas	jođahas	
jorttamovra	jorttamovra	
jortta	jortta	
jorgalanprošeakta	jorgalanprošeakta	
jorddamovra	jordmor	
jorbodat	runding	
jonssotáigi	jonssotáigi	
jolá	jolá	
jolli	jolli	
johtolatfievru	trafikkjøretøy	
johkagáttenieida	johkagáttenieida	
joavkolávdi	joavkolávdi	
joavkolatnja	grupperom	
jietnabáddenrusttet	lydbåndopptaker	
jiepma	jiepma	
jienastanvuohki	voteringsprosedyre	
jienastanortnet	voteringsrekkefølge	
jienaidlohkan	jienaidlohkan	
jiellun	jiellun	
jiekŋameararávdu	jiekŋameararávdu	
jearaldatmearka	spørsmålstegn	
jarri	seneknute	
jalleš	jalleš	
iđđesborramuš	iđđesborramuš	
iđitkáffe	iđitkáffe	
iđitbeaivváš	iđitbeaivváš	
isitvuohta	isitvuohta	
ipmit	tantebarn	
ipmirmeahttunvuohta	ipmirmeahttunvuohta	
integritehta	integritehta	
instruktevra	instruktevra	
innovašunprográmma	innovašunprográmma	
innovatiiva	innovativ	
ingefeara	ingefær	
infekšuvdnadávda	infekšuvdnadávda	
importøra	importøra	
ilolašvuohta	ilolašvuohta	
ilgatvuohta	ilgatvuohta	
ildigallevuohta	ildigallevuohta	
ii-vástádus	ii-vástádus	
ii-sámenuorra	ii-sámenuorra	
ii-bealle	ii-bealle	
ihtalanvihki	ihtalanvihki	
iešvuohki	iešvuohki	
iešsihkarvuohta	iešsihkarvuohta	
iešláganvuohta	iešláganvuohta	
idjadanruhta	nattillegg	
idjabeaiveloddi	idjabeaiveloddi	
id-koarta	id-koarta	
háše	háše	
hárjeveaksi	hárjeveaksi	
hánisvuohta	gjerrighet	
hálduiváldin	hálduiváldin	
hálddašansuorgi	hálddašansuorgi	
hálddašanstrategiija	administrasjonsstrategi	
hálddahusvirgi	hálddahusvirgi	
hálddahuskantuvra	hálddahuskantuvra	
háhtešeatni	háhtešeatni	
háhccegaska	skrev	
hádjarássi	hádjarássi	
hábmennákca	kreativitet	
hybrida	hybrid	
hupmankommunikašuvdna	hupmankommunikašuvdna	
hummu	hummu	
huksensuodjalus	huksensuodjalus	
hoteallahuksen	hoteallahuksen	
homogena	homogena	
homobargu	homobargu	
hoahka	gjentakelse	
hirbmatlágan	hirbmatlágan	
heŋgo	heŋgo	
hellodatgirku	hellodatgirku	
heivehanvejolašvuohta	heivehanvejolašvuohta	
heaŋggastat	heaŋggastat	
heavnnifierbmi	heavnnifierbmi	
heastavaláštallan	heastavaláštallan	
hearvadahkki	hearvadahkki	
heargevuodjengilvu	heargevuodjengilvu	
heargereahka	reinslede	
heakkarohttehat	heakkarohttehat	
heajosdálki	heajosdálki	
headjamátki	headjamátki	
haksin	haksin	
haddeskuohtta	haddeskuohtta	
haddeiskan	haddeiskan	
h-mielki	h-mielki	
gávpotteáhter	gávpotteáhter	
gávpotaviisa	gávpotaviisa	
gávpenjuolggadus	handelsforordning	
gávpegámmár	gávpegámmár	
gárvvisvuohta	gárvvisvuohta	
gárggogeahči	gárggogeahči	
gárdni	fortøm	
gárda	garde	
gámasuoidnilaš	gámasuoidnilaš	
gálán	gálán	
gáktehámat	gáktehámat	
gájot	gájot	
gáiski	bregne	
gáidánuohtti	kilenot	
gáiddusoahpaheapmi	gáiddusoahpaheapmi	
gáicadoallu	gáicadoallu	
gággi	gággi	
gáffegohppu	gáffegohppu	
gáffebánno	kaffekjel	
gužžaráhkku	gužžaráhkku	
gužžabálggis	gužžabálggis	
guvhli	guvhli	
gurutgiehta	venstrehand	
gurbbet	gresskar	
guppol	guppol	
guovttegielatvuođaruhta	guovttegielatvuođaruhta	
guovllurádjá	guovllurádjá	
guovlluovdánahttin	guovlluovdánahttin	
guovddášsadji	guovddášsadji	
guoskkahat	guoskkahat	
guorvil	guorvil	
guorraseapmi	tilslutning	
guorahallanguovlu	guorahallanguovlu	
guoppardárkkisteapmi	guoppardárkkisteapmi	
guolástanturista	guolástanturista	
guolástanstivra	guolástanstivra	
guolástanminister	guolástanminister	
guolástanbearráigeahčči	guolástanbearráigeahčči	
guollevallji	guollevallji	
guoleoaivi	fiskehode	
guoleliepma	fiskekraft	
guoiradandálkkodeapmi	guoiradandálkkodeapmi	
guohtundiva	guohtundiva	
guohtonvuoigatvuohta	guohtonvuoigatvuohta	
guohtoneanadutkan	guohtoneanadutkan	
guohti	guohti	
guoggomasráksá	skjoldbruskkjertel	
guoggomas	strupehode	
gulaskuddannotáhtta	forhøringsnotat	
gulaskuddaninstánsa	gulaskuddaninstánsa	
guhkásnjuiken	guhkásnjuiken	
gudnečájáhus	gudnečájáhus	
gođđuguolli	gođđuguolli	
govvačuolli	govvačuolli	
govvačeahppi	govvačeahppi	
govvaeahket	govvaeahket	
govvadus	govvadus	
govvabázzi	govvabázzi	
govdadilli	govdadilli	
govdabáddefylka	govdabáddefylka	
govadat	riss	
gorta	gorta	
gorespábba	kurvball	
gordnešaddu	gordnešaddu	
gordnegihppu	kornnek	
gonagasreabbámáddodat	gonagasreabbámáddodat	
gomáhus	gomáhus	
golmmačearddalašvuohta	golmmačearddalašvuohta	
gollerogganlihttu	gollerogganlihttu	
gollenuorra	gollenuorra	
golgadatlohpi	golgadatlohpi	
gohttehat	gohttehat	
gobba	bille	
goavvejahki	goavvejahki	
goaskinlohku	goaskinlohku	
goardda	sterk_varme	
goara	goara	
goaivunbargu	goaivunbargu	
goahteriggi	goahteriggi	
goaffar	goaffar	
glássalávdi	vindusbrett	
gižži	gižži	
giđđaáibmu	vårluft	
girkoávvudeapmi	girkoávvudeapmi	
girkoviidni	kirkevin	
girkominister	girkominister	
girkojoavku	girkojoavku	
girkohoavda	girkohoavda	
girjjatvuohta	girjjatvuohta	
girjelohkki	girjelohkki	
girjeguhpa	girjeguhpa	
girdinmátki	girdinmátki	
gilvvavisti	drivhus	
gilvonummir	gilvonummir	
gilvobearráigeahčču	gilvobearráigeahčču	
gilvisotnabeaivi	gilvisotnabeaivi	
giliovdánahttinfoanda	giliovdánahttinfoanda	
gililuodda	bygdeveg	
giliguovddáš	giliguovddáš	
giktalus	giktalus	
gihppu	bunt	
gieđavuolsoabbi	underarmskrykke	
gievrrastallansále	gievrrastallansále	
gievkkanbierggas	kjøkkenmøbel	
gierisvuohta	gierisvuohta	
gieres	gieres	
giellaruhtariidu	giellaruhtariidu	
giellamuorra	giellamuorra	
giellahápmi	giellahápmi	
gieldaekonomiija	gieldaekonomiija	
giehtasadji	giehtasadji	
giehtadávgi	giehtadávgi	
giehtadáidda	giehtadáidda	
giehtaduojáriidbeaivi	giehtaduojáriidbeaivi	
giehtadiibmu	giehtadiibmu	
giehtabassan	håndvask	
gieddesavvon	gieddesavvon	
gieddebargi	gieddebargi	
genitiiva	genitiiva	
generálageahččaleapmi	generálageahččaleapmi	
generáhtor	dynamo	
gelbbolašvuođaovdáneapmi	gelbbolašvuođaovdáneapmi	
gelbbolašvuođanannen	gelbbolašvuođanannen	
geavaheaddjeiskkadeapmi	geavaheaddjeiskkadeapmi	
geatkenálli	geatkenálli	
geasseturisma	geasseturisma	
gearretnjárggahas	gearretnjárggahas	
geardun	multiplikasjon	
geardni	skare	
geardedállu	boligblokk	
geallu	geallu	
gealbbohisvuohta	gealbbohisvuohta	
geaidnoplána	vegplan	
geaidnomohkki	geaidnomohkki	
geaidnomašiidna	geaidnomašiidna	
geaidnojohtalusguovddáš	geaidnojohtalusguovddáš	
geaidnohoavda	geaidnohoavda	
geahččaladdanprográmma	geahččaladdanprográmma	
gazzaloddi	rovfugl	
garraduodjeriekkis	garraduodjeriekkis	
gardiidna	gardin	
galmma	galmma	
galljodat	maskevidde	
galbmaskáhppe	galbmaskáhppe	
fástorohkos	fástorohkos	
fástoakšuvdna	fástoakšuvdna	
fápmuiboahtin	ikrafttredelse	
fápmogáldu	fápmogáldu	
fáksanummir	fáksanummir	
fáhtehus	fáhtehus	
fáhccabealli	fáhccabealli	
fuollabargu	fuollabargu	
fotočájáhus	fotočájáhus	
fotosyntesa	fotosyntesa	
folklore	folklore	
fitnodatspábbačiekčan	fitnodatspábbačiekčan	
fitnodatovdánahttin	fitnodatovdánahttin	
fitnodatbuohccidivššár	fitnodatbuohccidivššár	
finálaáigi	finálaáigi	
filbmastudeanta	filbmastudeanta	
filbmastipeanda	filbmastipeanda	
fiervávázzin	fiervávázzin	
fierbmečalbmi	garnmaske	
fiellosahá	snekkersag	
fidnosuorgi	fidnosuorgi	
fidnoskuvlaoahppi	fidnoskuvlaoahppi	
fidnobargi	fidnobargi	
festniŋga	festning	
festiválabibliotehka	festiválabibliotehka	
feminisma	feminisme	
farmakologiija	farmakologi	
farao	farao	
fanatisma	fanatisme	
fanashámman	båthavn	
falástallanvisti	falástallanvisti	
falástallanviessu	falástallanviessu	
falástallanskuvla	falástallanskuvla	
falástallanráđđi	falástallanráđđi	
fakturá	fakturá	
eurohpámeasttir	eurohpámeasttir	
essea	essea	
eretdoalvun	fjerning	
entreprenevravuohta	entreprenevravuohta	
enheta	enheta	
elektronika	elektronika	
el-čuggestat	kontakt	
ekváhtor	ekvator	
ekspeartačoahkkin	ekspeartačoahkkin	
ekspanšuvdna	ekspansjon	
eksohtalašvuohta	eksohtalašvuohta	
ekskuršuvdna	ekskuršuvdna	
eksistensialisma	eksistensialisme	
einnostahttivuohta	einnostahttivuohta	
eboasta	eboasta	
eaŋkillatnja	enkeltrom	
eavttohas	eavttohas	
eatnanšaddočájáhus	eatnanšaddočájáhus	
eatnanhálddašeapmi	eatnanhálddašeapmi	
eatnandássi	eatnandássi	
easttaviehkan	hinderløp	
easki	easki	
earenoamášpedagoga	earenoamášpedagoga	
earaláganvuohta	earaláganvuohta	
eanádat	eanádat	
eanauđas	eanauđas	
eanaoassi	parsell	
eanaoamastanvuoigatvuohta	eanaoamastanvuoigatvuohta	
eanaoamastanduođaštus	eanaoamastanduođaštus	
eananspáppastallan	eananspáppastallan	
eananláigohandivat	eananláigohandivat	
eanandoallodoaibma	eanandoallodoaibma	
eanamolsundiggi	eanamolsundiggi	
eanamihtideapmi	eanamihtideapmi	
eanagáhtten	eanagáhtten	
eanageavahanvuoigatvuohta	eanageavahanvuoigatvuohta	
eanadoalloministeriija	jordbruksdepartement	
eanadoallominister	eanadoallominister	
eanadoallolávdegoddi	eanadoallolávdegoddi	
eanadoallokárta	eanadoallokárta	
eamiálbmotčájáhus	eamiálbmotčájáhus	
eamiálbmotfierpmádat	eamiálbmotfierpmádat	
eamiálbmotdeklarašuvdna	eamiálbmotdeklarašuvdna	
eamivuovdi	urskog	
eamitoaivi	eamitoaivi	
eamidaš	eamidaš	
ealáhusoktavuohta	ealáhusoktavuohta	
ealáhusdoaimmahanfriddjavuohta	ealáhusdoaimmahanfriddjavuohta	
ealádat	ealádat	
ealljárvuohta	ealljárvuohta	
eallindoaibma	eallindoaibma	
eaiggátberoštupmi	eaiggátberoštupmi	
eaidanas	eaidanas	
eahpesoabalašvuohta	eahpesoabalašvuohta	
eahperisttalašvuohta	eahperisttalašvuohta	
eahpeovddasvástideaddji	eahpeovddasvástideaddji	
eahpeoskkáldasvuohta	eahpeoskkáldasvuohta	
eahpedáhpi	eahpedáhpi	
eahpeduohtavuohta	eahpeduohtavuohta	
eahpedorvu	mistillit	
eahpediehtu	eahpediehtu	
eahketrohkos	eahketrohkos	
eahketoahpahus	eahketoahpahus	
eahketdánsa	eahketdánsa	
eahketborran	eahketborran	
eahkestuvra	eahkestuvra	
eahkesdoallu	eahkesdoallu	
eSápmi-plána	eSápmi-plána	
e-ávnnas	e-ávnnas	
dáččabealle	dáččabealle	
dáŋka	tank	
dážaálbmot	dážaálbmot	
dážapolitihkka	dážapolitihkka	
dážagiláš	dážagiláš	
dážaaviisa	dážaaviisa	
dávgebivdu	dávgebivdu	
dávdanjoammun	dávdanjoammun	
dávdaleavvan	dávdaleavvan	
dávdaguoddi	dávdaguoddi	
dásseárvovuoiti	dásseárvovuoiti	
dásseárvosašvuohta	dásseárvosašvuohta	
dásseárvoráđđi	dásseárvoráđđi	
dásseárvoprošeakta	dásseárvoprošeakta	
dásseárvooaidnu	dásseárvooaidnu	
dásseárvodoaibmabidju	dásseárvodoaibmabidju	
dássebálká	dássebálká	
dáruiduhttinláhka	dáruiduhttinláhka	
dáruiduhttinfoanda	dáruiduhttinfoanda	
dárogieláviisa	dárogieláviisa	
dárogielteaksta	dárogielteaksta	
dárogieloahppu	dárogieloahppu	
dárogieloahppi	dárogieloahppi	
dárogieldiibmu	norsktime	
dárkkistansadji	dárkkistansadji	
dárkkistanprográmma	dárkkistanprográmma	
dárkilisvuohta	dárkilisvuohta	
dápmotnálli	dápmotnálli	
dánsunguoibmi	dánsunguoibmi	
dánsenláhtti	dánsenláhtti	
dánsengilvu	dánsengilvu	
dánsačájáhus	dánsačájáhus	
dánsapedagoga	dánsapedagoga	
dámmáráidu	dámmáráidu	
dálvečoakkalmas	dálvečoakkalmas	
dálvemárkanastin	dálvemárkanastin	
dálvegárdi	dálvegárdi	
dálvegoahtu	dálvegoahtu	
dálvegilvvohallan	dálvegilvvohallan	
dálvefinála	dálvefinála	
dálvebáhčin	dálvebáhčin	
dálvebuolaš	dálvebuolaš	
dálvebeassi	dálvebeassi	
dállooasti	dállooasti	
dálkkádatčájálmas	dálkkádatčájálmas	
dálkkádatrievdankonferánsa	dálkkádatrievdankonferánsa	
dálkkádatplána	dálkkádatplána	
dálkkádatovdáneapmi	dálkkádatovdáneapmi	
dálkkádatjulggaštus	dálkkádatjulggaštus	
dálkkádatjoavku	dálkkádatjoavku	
dálkkodanriekti	dálkkodanriekti	
dálkkasgilvu	dálkkasgilvu	
dálkeprofehta	dálkeprofehta	
dálkediehtinkursa	dálkediehtinkursa	
dáktehápmi	dáktehápmi	
dájuhangálvu	dájuhangálvu	
dájet	dájet	
dáigu	dáigu	
dáiddárskuvla	dáiddárskuvla	
dáiddárkonsuleanta	dáiddárkonsuleanta	
dáiddaávnnas	dáiddaávnnas	
dáiddaásahus	dáiddaásahus	
dáiddaárvvoštallan	dáiddaárvvoštallan	
dáiddavuorká	dáiddavuorká	
dáiddaságastallan	dáiddaságastallan	
dáiddaráidu	dáiddaráidu	
dáiddagirji	dáiddagirji	
dáiddaduodječájáhus	dáiddaduodječájáhus	
dáiddadieđa	dáiddadieđa	
dáiddadahku	dáiddadahku	
dáhpáhusráidu	dáhpáhusráidu	
dáhkádussubmi	forsikringssum	
dáhkádusmáksu	forsikringspremie	
dáhkádusgollu	garantikostnad	
dáhkkepláhtta	dáhkkepláhtta	
dábálašoahpaheaddjioahppu	dábálašoahpaheaddjioahppu	
dábálašoahpaheaddjioahppi	dábálašoahpaheaddjioahppi	
dynastiija	dynasti	
dynamihtašbáddi	dynamihtašbáddi	
duššástupmi	frustrasjon	
duššibargu	duššibargu	
dutkanvuođđu	dutkanvuođđu	
dutkanprofessor	dutkanprofessor	
dutkanfierpmádat	dutkanfierpmádat	
dutkandoarjja	dutkandoarjja	
dutkanbláđđi	dutkanbláđđi	
dutkanattáldat	dutkanattáldat	
durdda	søl	
duppalávvudeapmi	duppalávvudeapmi	
duppalvuoiti	duppalvuoiti	
duppalbargu	duppalbargu	
duođaštusortnet	duođaštusortnet	
duottarsápmelaš	duottarsápmelaš	
duottarlieđđi	duottarlieđđi	
duopmárváldi	dommerfullmektig	
duopmárhálddahus	duopmárhálddahus	
duopmostuollomeannudeapmi	duopmostuollomeannudeapmi	
duopmostuollolávdegoddi	duopmostuollolávdegoddi	
duopmosotnabeaivi	duopmosotnabeaivi	
duolvačáhcevuogádat	duolvačáhcevuogádat	
duolvadielku	duolvadielku	
duolvabáidi	duolvabáidi	
duollomáksinmearri	duollomáksinmearri	
duollomearri	duollomearri	
duolloláhka	duolloláhka	
duollodoaibma	duollodoaibma	
duolljeduojár	duolljeduojár	
duolbadas	duolbadas	
duohtavuođaprográmma	duohtavuođaprográmma	
duohtavuođalávdegoddi	duohtavuođalávdegoddi	
duohtavuođafilbma	duohtavuođafilbma	
duohtaeallin	duohtaeallin	
duogášsearvi	duogášsearvi	
duogášmusihkka	duogášmusihkka	
duodjeásahus	duodjeásahus	
duodjeviessu	duodjeviessu	
duodjeplána	duodjeplána	
duodjemeašttir	duodjemeašttir	
duodjekultuvra	håndarbeidkultur	
duodjegovva	duodjegovva	
duodjefágareive	duodjefágareive	
duodjedoarjja	håndtverksstønad	
duodjedilli	duodjedilli	
duodjediibmu	håndarbeidstime	
duodjedienas	duodjedienas	
duodjebierggas	håndarbeidsting	
duodjebeavdi	duodjebeavdi	
duodjebagadallanvirgi	duodjebagadallanvirgi	
duodjebagadallan	duodjebagadallan	
dulvevahát	dulvevahát	
dulvecaggebargu	dulvecaggebargu	
dulvanriska	dulvanriska	
dulkonveahkki	dulkonveahkki	
dulkonruhta	dulkonruhta	
dulkonfitnodat	dulkonfitnodat	
duljár	duljár	
duisku	duisku	
duhátjahkeávvudeapmi	duhátjahkeávvudeapmi	
duhpáthádja	duhpáthádja	
duhpáteastadanbargu	duhpáteastadanbargu	
duhpátborgguheapmi	duhpátborgguheapmi	
duhpátboaldin	duhpátboaldin	
duhkoraddanšillju	duhkoraddanšillju	
duhkki	duhkki	
duhkaraddangiella	duhkaraddangiella	
duddjončehppodat	duddjončehppodat	
duddjonávnnas	duddjonávnnas	
duddjojeaddji	duddjojeaddji	
dubleahtta	dubleahtta	
dreassadáža	dreassadáža	
dovttaveasku	dovttaveasku	
dovdoeallin	dovdoeallin	
dovdangilvu	dovdangilvu	
dorvofoanda	dorvofoanda	
dopmonjaman	dopmonjaman	
dološmuitu	dološmuitu	
dollačáskadanveahka	dollačáskadanveahka	
dollačáskadanapparáhtta	dollačáskadanapparáhtta	
dollafápmu	dollafápmu	
dolgevuoggameasttir	dolgevuoggameasttir	
dolgevuoggajuniorgilvu	dolgevuoggajuniorgilvu	
dolgelátna	dolgelátna	
dokumentáraráidu	dokumentáraráidu	
dokumentáragirjjálašvuohta	dokumentáragirjjálašvuohta	
dokumenterenbargu	dokumenterenbargu	
dokumeantagieđahallanvuogádat	dokumeantagieđahallanvuogádat	
dohkkehančoahkkin	dohkkehančoahkkin	
dohkkehanbeaivi	dohkkehanbeaivi	
doavttirveahkki	doavttirveahkki	
doavttirstudeanta	doavttirstudeanta	
doavttirgrádačálus	doavttirgrádačálus	
doavttirfálaldat	doavttirfálaldat	
doavtterskuvla	doavtterskuvla	
doavttersadjásaš	doavttersadjásaš	
doavtterdássi	doavtterdássi	
doavtterdieđihuvvon	doavtterdieđihuvvon	
doavtterbargovuoigatvuohta	doavtterbargovuoigatvuohta	
doarrunvuohki	doarrunvuohki	
doarjjastašuvdna	doarjjastašuvdna	
doarjjareive	doarjjareive	
doarjjamáksu	doarjjamáksu	
doarjjajuolludanhálddašeapmi	doarjjajuolludanhálddašeapmi	
doarjjageavaheapmi	doarjjageavaheapmi	
doarjjabearaš	doarjjabearaš	
doaresbealguovlu	doaresbealguovlu	
doapparsirren	kildesortering	
doallovuohki	doallovuohki	
doallovisti	doallovisti	
doaimmahatbargi	doaimmahatbargi	
doaibmašiehtadus	doaibmašiehtadus	
doaibmavierru	doaibmavierru	
doaibmateknihkkár	doaibmateknihkkár	
doaibmaraporta	doaibmaraporta	
doaibmaplánaevttohus	doaibmaplánaevttohus	
doaibmanáigi	driftsperiode	
doaibmanguovlu	doaibmanguovlu	
doaibmakonsešuvdna	doaibmakonsešuvdna	
doaibmagelbbolašvuohta	handlingskompetanse	
doaibmafriddjavuohta	handlefrihet	
doaibmadienas	doaibmadienas	
doaibmaboađus	driftsresultat	
doahttobohtal	doahttobohtal	
diđoščivga	diđoščivga	
divvumuš	divvumuš	
divvojupmi	divvojupmi	
divuhangollu	divuhangollu	
divišuvdnajuohku	divišuvdnajuohku	
divišundirektevra	divišundirektevra	
dispaášši	dispaášši	
dispaohcan	dispaohcan	
diskursa	diskurs	
direktevrabargu	direktevrabargu	
dinennákca	dinennákca	
dinengáibádus	dinengáibádus	
dildi	gelè	
dikšunásodat	dikšunásodat	
dikšunásahus	dikšunásahus	
dikšunsadji	dikšunsadji	
diktagirječálli	diktagirječálli	
diidaosku	diidaosku	
diibmorádio	diibmorádio	
diibmolohkoviiddideapmi	diibmolohkoviiddideapmi	
dihtoášši	dihtoášši	
dihtoršávahathuksen	dihtoršávahathuksen	
dihtorsearvi	dihtorsearvi	
dihtorráhkkanus	dihtorráhkkanus	
dihtorovdáneapmi	dihtorovdáneapmi	
dihtordoaibma	dihtordoaibma	
dihkkenjoammun	dihkkenjoammun	
digitaliserenbargu	digitaliserenbargu	
diggenággu	rettstvist	
dieđasearvi	dieđasearvi	
dievváluohkká	siden_av_en_haug	
dievvanjunni	utstikker_fra_rundaktig_haug	
dievdoveahka	dievdoveahka	
dievdosykkel	dievdosykkel	
dievdospealli	dievdospealli	
dievdosearvi	dievdosearvi	
dievdoolbmogákti	dievdoolbmogákti	
dievasčoahkkinvahkku	dievasčoahkkinvahkku	
dievasčoahkkinsálla	dievasčoahkkinsálla	
dievasčoahkkinstába	dievasčoahkkinstába	
dieseldiva	dieseldiva	
dienasvearru	inntektsskatt	
dienasvearroproseanta	dienasvearroproseanta	
dienasoassi	dienasoassi	
dienasdássi	dienasdássi	
dieldá	dieldá	
diehtošaldi	diehtošaldi	
diehtováili	diehtováili	
diehtovuorká	diehtovuorká	
diehtotávval	diehtotávval	
diehtoovdáneapmi	diehtoovdáneapmi	
diehtomearri	diehtomearri	
diehtojuohkináviisa	diehtojuohkináviisa	
