lihkkolohku	lykketall	onnenluku
kulturdeaivvadeapmi	kulturtreff	
čuđđi	čuđđi	
čuhti	tsjude	
dahkamuš	befatning	
bakteriija	bakteri	
vearredahkki	vearredahkki	
eaŋgalasgiella	engelsk_språk	
apotehka	apotek	
Vuođđoláhka	Vuođđoláhka	
állu	godt_hold	
diesel	diesel	
áltálaš	áltálaš	
skuvlagovva	skolebilde	
juovlabassi	julehelg	
homofiliija	homofili	
deatnogáddi	deatnogáddi	
optimista	optimist	
meašttirgilvu	mesterskap	
loahppagilvu	finale	
almmuhusteaksta	annonsetekst	
sámegielda	samekommune	
servodatviessu	samfunnshus	
komponista	komponista	
duovvi	voksen_hunnlaks	
boazodoalloealáhus	reindriftsnæring	
TV-prográmma	TV-program	
Sámeskuvla	Sámeskuvla	
Luonddugáhttensearvi	Luonddugáhttensearvi	
Davvinjárga	Davvinjárga	
hearva	stas	
dállodoallu	husstand	
čanastat	band	
sámirádio	sámirádio	
sámemusea	samemuseum	
ruvdna	krone	
ossodathoavda	avdelingsleder	
máŋggabealatvuohta	máŋggabealatvuohta	
mohtorjohtolat	motortrafikk	
konsešuvdna	konsesjon	
debáhtta	debatt	
dearvvašvuođadivššár	helsesøster	
sátnevuorru	innlegg	
ovttastuvvon	forent	
historihkkár	historiker	
diehtojuohkinčoahkkin	orienteringsmøte	
boahtti	boahtti	
árdna	skatt	
sámefoanda	samefond	
luovosbeana	luovosbeana	
lihkusávaldat	lykkeønskning	
fierca	vær	
buressivdnádus	velsignelse	
biebmoluossa	oppdrettslaks	
árvvoštalli	árvvoštalli	
válgalohpádus	válgalohpádus	
ruonas	grønnsak	
ruonas	grønn	
gielddaválga	kommunevalg	
Láhppi	Láhppi	
Ákŋoluokta	Hasvik	
lektor	lektor	
journalistaoahppu	journalistutdanning	
gielladilli	språksituasjon	
giehtaduodji	håndarbeid	
dollár	dollar	
Olympia	Olympia	
čohkat	spisse	
álbmotviessu	folkehus	
álbmotmusihkka	folkemusikk	
sámeleavga	sameflagg	
solidaritehta	solidaritet	
riikkabeaivi	riksdag	
oahpposadji	studieplass	
gollát	være_gyllen	
doaimmashehttejuvvon	doaimmashehttejuvvon	
Sámeláhka	Sámeláhka	
máhttolokten	máhttolokten	
luossabreavaeaiggát	luossabreavaeaiggát	
joatki	joatki	
giliskuvla	grendeskole	
gaskamearra	gaskamearra	
ealát	livberging	
dáiddaduodji	dáiddaduodji	
válgalihttu	valgforbund	
oljobohkan	oljobohkan	
olgoriikkadepartemeanta	olgoriikkadepartemeanta	
meašttir	mester	
koordináhtor	koordináhtor	
geahčadeapmi	innsyn	
dáiddačeahppi	kunstner	
čáhcádat	čáhcádat	
seniorráđđeaddi	seniorráđđeaddi	
máilmmiviidosaš	global	
láddelaš	finne	
stoahkan	stoahkan	
rámmaeaktu	rammebetingelse	
kulturbargi	kulturbargi	
juhkančáhci	juhkančáhci	
guorra	guorra	
badjealmmái	reindriftssame	
addin	addin	
Seastinbáŋku	Seastinbáŋku	
Máhttodepartemeanta	Máhttodepartemeanta	
váibmoášši	hjertesak	
sisaváldin	sisaváldin	
rakeahtta	rakett	
journalistihkka	journalistikk	
guđđa	guđđa	
gielddahoavda	rådmann	
diggeášši	rettsak	
Fávrrosorda	Fávrrosorda	
čohkkánsadji	sitteplass	
sádden	sádden	
siski	siski	
ruovdemáđii	ruovdemáđii	
pokála	pokal	
fidnu	yrke	
dutkanbargu	forskningsarbeid	
buollán	antennelse	
badjemánná	reindriftsbarn	
museasiida	museasiida	
journalistasearvi	journalistklubb	
duostilvuohta	mot	
buorremiella	buorremiella	
ádjit	jage	
uhcastáloš	uhcastáloš	
oaggu	oaggu	
masai	masai	
loahpaloahppa	loahpaloahppa	
juoigangilvu	juoigangilvu	
guovllukantuvra	distriktskontor	
dáiddadáhpáhus	dáiddadáhpáhus	
dievdojoavku	dievdojoavku	
beanavuoddji	beanavuoddji	
vuorasolmmoš	vuorasolmmoš	
vuoigatvuođaášši	rettighetssak	
njiedjan	njiedjan	
lávlunoassi	lávlunoassi	
geahčču	tilsyn	
biebman	ernæring	
bargostipeanda	arbeidsstipend	
váikkuhanvejolašvuohta	påvirkningsmulighet	
verddevuohta	samarbeid	
taleanta	taleanta	
máilmmimeašttir	verdensmester	
juovlabeaivi	juledag	
gulahallanolmmoš	gulahallanolmmoš	
skuvlaáigi	skoletid	
ráfibálkkašupmi	fredspris	
luhkka	skulderkappe	
lagasbiras	nærmiljø	
iđitsátta	iđitsátta	
iešsoardin	iešsoardin	
govvamuitu	fotominne	
finnmárkkuláhka	finnmárkkuláhka	
ealgabivdiidsearvi	ealgabivdiidsearvi	
biilaluodda	bilveg	
Bullju	Bullju	
sámegielhálli	sámegielhálli	
ruvdnaprinsa	ruvdnaprinsa	
ovdalgaskabeaivi	formiddag	
márkanfievrredeapmi	márkanfievrredeapmi	
luoddaguorra	vegkant	
biebmoruoktu	biebmoruoktu	
Moski	Moski	
váldogiella	váldogiella	
vuosttaščájálmas	premiére	
oktasašbargu	fellesarbeid	
njuolggosátta	direktesending	
nealgudeaddji	nealgudeaddji	
goalmmádas	tredjedel	
fierbmebivdi	fierbmebivdi	
riikkadássi	riksplan	
minsttar	mønster	
heargevuoddji	heargevuoddji	
giđđajohtin	vårflytting	
fágabargi	fágabargi	
doallan	abonnement	
diehtojuohkki	diehtojuohkki	
bargoduođaštus	arbeidsattest	
Jáhkovuotna	Revsbotn	
Boazodoalloláhka	Boazodoalloláhka	
riikkarevišuvdna	riksrevisjon	
moallabáhčči	moallabáhčči	
lohkkiidreive	leserbrev	
guođoheapmi	guođoheapmi	
delegáhtta	delegáhtta	
bivdoáigi	jakttid	
Suolovuopmi	Suolovuopmi	
vuostálat	motbakke	
sámisiida	sámisiida	
suoládeapmi	tyveri	
preassakonferánsa	pressekonferanse	
olgomáilbmi	utomverdenen	
bajásgeassin	oppfostring	
Justiisadepartemeanta	Justiisadepartemeanta	
vuodjenlohpi	vuodjenlohpi	
skiipa	skip	
nummár	nummer	
nenetsa	nenets	
miellačájeheapmi	demonstrasjon	
kampánja	kampanje	
diktačálli	diktačálli	
Sámiálbmot	Sámiálbmot	
soahteveahka	streifkorps	
pedagogihkka	pedagogikk	
nubbegiella	andrespråk	
miššoneara	miššoneara	
bivdovuoigatvuohta	gjenfangstrett	
čuoiganláhttu	skiløype	
áŋgirvuohta	iver	
universiteahtta	universitet	
sámepolitihkar	samepolitiker	
skulptuvra	skulptur	
seavdnjadas	seavdnjadas	
oamasteapmi	disponering	
nuoraidráđđi	nuoraidráđđi	
muitokonsearta	minnekonsert	
lihkadus	rørelse	
guora	guora	
Vierca	Vierca	
vuollegašvuohta	ydmykhet	
turnea	turnea	
mátketelefovdna	mátketelefovdna	
friddjaáigi	fritid	
favorihtta	favoritt	
bázzi	monument	
Kulturdepartemeanta	Kulturdepartemeanta	
ovdánahttinfoanda	utviklingsfond	
muohtaskohter	snøskuter	
loahppavuorru	loahppavuorru	
ealligovva	ealligovva	
davvinorgalaš	davvinorgalaš	
buhcciidruoktu	sykehjem	
birasgáhttendepartemeanta	miljødepartement	
čoakkalmas	møte	
veahkaváldin	veahkaváldin	
spiidnegolgodávda	spiidnegolgodávda	
skuvlabargu	skolearbeid	
politiijameašttir	politimester	
olgoriikkaministtar	olgoriikkaministtar	
oahppolihttu	utdanningsforbundet	
oahpaheaddjioahppu	lærerutdanning	
miellahttočoahkkin	medlemsmøte	
kulturguoddi	kulturguoddi	
fágasearvi	fagforening	
falástallansearvi	falástallansearvi	
eamiálbmotguovlu	urbefolkningsområde	
skohtervuoddji	skohtervuoddji	
skandála	skandale	
ráppár	ráppár	
nissonbeaivi	kvinnedag	
lágamánniriekti	lagmannsrett	
guolleearri	fiskekvote	
gena	gen	
fuorragávppašeapmi	prostitusjon	
dispensašuvdna	dispensasjon	
badjedássi	badjedássi	
Rock	Rock	
Goahteluoppal	Goahteluoppal	
vuostálasvuohta	motsetning	
turistafitnodat	turistfirma	
ráđđeaddin	ráđđeaddin	
ráŋggáštusčievččasteapmi	ráŋggáštusčievččasteapmi	
olmmošvierru	olmmošvierru	
loahppaboahtu	sluttprodukt	
loahpaheapmi	avslutning	
guolástansearvi	guolástansearvi	
guhkitáigi	guhkitáigi	
gilo	gilo	
dáhpedorbmi	tilfelle	
borri	kant	
bearjadateahket	fredagskveld	
veršuvdna	versjon	
skohtervuodjin	skohtervuodjin	
norggameašttir	norgesmester	
koda	kode	
finnmárkoláhka	finnmarksloven	
eallenahki	eallenahki	
eaiggátvuohta	eierskap	
buozanvuohta	sykdom	
Sykkeltrimmen	Sykkeltrimmen	
áššegollu	sakskostnad	
virus	virus	
olgešbellodat	høyreparti	
luonddugáhttensearvi	miljøvernforening	
lohkanguovddáš	lohkanguovddáš	
jortamovra	jordmor	
huksejeaddji	huksejeaddji	
fylkkadoavttir	fylkeslege	
eananvuoigatvuohta	jordrettighet	
dispalávdegoddi	dispensasjonsutvalg	
boazodoallošiehtadallan	reindriftsforhandling	
TV-akšuvdna	TV-akšuvdna	
álgovuorru	første_omgang	
mázelaš	mázelaš	
massin	massin	
hupmu	hupmu	
fávli	dyp	
fuorrá	som_er_usedelig	
dáiddasearvi	kunstforening	
dološáigi	gammel_tid	
davvisiida	davvisiida	
aktevra	aktevra	
Nuoraidlávdegoddi	Nuoraidlávdegoddi	
váikkuhusguorahallan	váikkuhusguorahallan	
seaguhus	blanding	
rahpanáigi	åpningstid	
ovddabealle	frampart	
loahppačiekčan	sluttspill	
jienastanvuoigatvuohta	stemmerett	
Bossegohppi	Bossegohppi	
čilgen	forklaring	
vánddardeapmi	vánddardeapmi	
testameanta	testameanta	
sámelistu	sameliste	
muslima	muslim	
motiiva	motiv	
mearraolbmáidgirku	mearraolbmáidgirku	
meahcceguovlu	utmarksstrekning	
etáhtta	etat	
eastadeapmi	eastadeapmi	
ealáhusfoanda	næringsfond	
dutkanboađus	dutkanboađus	
veahka	styrke	
uniovdna	union	
suohkandoavttir	kommunelege	
sulla	sulla	
sihkkarasti	sihkkarasti	
politiijaduođaštus	politiijaduođaštus	
parasihtta	parasitt	
oaivámuš	overhode	
muohtakino	snøkino	
maŋŋágaskabeaivi	ettermiddag	
johtolatsihkarvuohta	trafikksikkerhet	
dehálašvuohta	dehálašvuohta	
čoahkkinlatnja	møtelokale	
váldovuoitu	hovedpremie	
vuordinlistu	vuordinlistu	
sáttogáddi	sandstrand	
skuvlahoavda	skolesjef	
juovlanigá	julenisse	
gámas	leggskinn	
eallinláibi	levebrød	
dálveeana	dálveeana	
dáhkádusfitnodat	forsikringsselskap	
dievvá	haug	
beaivedikšu	dagpleie	
bargomokta	arbeidslyst	
sprinta	sprinta	
rádiosátta	rádiosátta	
reasta	rest	
plastihkka	plastikk	
ođassátta	nyhetssending	
ovttastupmi	sammenslutning	
oasusfitnodat	oasusfitnodat	
iešsorbmen	selvmord	
golgadeapmi	drivgarnsfiske	
gilišillju	bygdetun	
geađgejuolgi	grunnmur	
eanavuoigatvuohta	landrettighet	
diggeriekti	tinglag	
diehtojuohkinhoavda	informasjonssjef	
bismagoddi	bismagoddi	
Biedjovággi	Biedjovággi	
Bearalváhki	Bearalváhki	
ossodatdirektevra	avdelingsdirektør	
norggameašttirgilvu	norgesmesterskap	
muitaleaddji	muitaleaddji	
mieldelahttu	mieldelahttu	
medállja	medalje	
gártá	gártá	
guovddášsearvi	sentralorganisasjon	
guolástangoddi	guolástangoddi	
gieldaministtar	kommunalminister	
faláštallansearvi	idrettsforening	
el-fápmolinjá	el-fápmolinjá	
deaivan	deaivan	
deahkka	dekk	
bargoneavvu	verktøy	
skuvlavázzin	skolegang	
rahpandoallu	rahpandoallu	
nubbigiella	nubbigiella	
luonddugeavaheapmi	naturbruk	
leansmánnibálvá	lensmannsbetjent	
hášša	hasj	
huksenbargu	huksenbargu	
giellamáhttu	språkkunnskap	
generálačálli	generálačálli	
boazosuohkan	reindriftskommune	
beanavuodjin	beanavuodjin	
Vuotnabahta	Vuotnabahta	
Buvrovuotna	Burfjorden	
álgojahki	álgojahki	
veajet	fiskeyngel	
skuhter	skuter	
riegádahttin	forløsning	
opmodatsirdin	eiendomsoverføring	
máttasápmelaš	sørsame	
lokten	uttak	
fosfora	fosfora	
Spábbačiekčanlihttu	Spábbačiekčanlihttu	
vuosttaškonsuleanta	førstekonsulent	
