oba	melko
sadjái	sijaan
rádjái	asti
dađi	sitä
ráđđi	neuvo& neuvosto
giellaráđđi	kielineuvosto
stáhtaráđđi	ministeri
dutkanráđđi	tutkimusneuvosto
girkoráđđi	kirkkoneuvosto
kulturráđđi	kulttuurineuvosto
ovttasráđđi	yhteisneuvo
oahpahusráđđi	opetusneuvosto
eamiálbmotášši	alkuperäiskansa-asia
álgoálbmotášši	alkuperäiskansa-asia
dal	nyt
artihkal	artikkeli
gaskal	keskellä
kapihtal	kappale
kapihttal	kappale
sámegiel	saamenkielinen
vuollel	alla
váldoulbmil	päämäärä
kulturulbmil	kulttuuritavoite
ovttaoaivil	yhteisymmärrys& yhteinen kanta
maŋŋil	jälkeen
vuođul	perusteella
forum	foorumi
ohcan	hakemus
gulaskuddan	kuulustelu
rievdan	muutos
dálkkádatrievdan	ilmastomuutos
ovdan	eteen
lágan	sellainen
earalágan	erilainen
sierralágan	erilainen
ovttalágan	samanlainen
earálágan	erilainen
lohkan	lukeminen
gaskan	puolivalmis
iskan	koe
dutkan	tutkinto, tutkimus
bagadallan	ohjaus
šiehtadallan	neuvottelu
guorahallan	selvitys
gieđahallan	käsittely
ságastallan	keskustelu& vuoropuhelu
digaštallan	väittely& keskustelu
árvvoštallan	arviointi
valáštallan	urheilu
man	kuinka
eanan	maa
stáhtaeanan	valtionmaa
guohtuneanan	laidunalue
siseanan	sisämaa
beassan	pääsy
oktan	yhdessä
nuortan	idässä
njuovvan	teurastus
vuohččan	ensimmäinen
válljen	valinta
merken	merkintä
hábmen	muotoilu
eksámen	tentti
plánen	suunnittelu
investeren	investointi
huksen	rakentaminen
kárten	kartoittaminen
birasgáhtten	ympäristösuojelu
sirdin	siirto
vuovdin	myynti
dainnalágiin	sillä tavalla
oarjin	lännessä
juohkin	jako
diehtojuohkin	tiedotus
jahkečoahkkin	vuosikokous
girkočoahkkin	kirkkokokous
dievasčoahkkin	täysistunto
ollesčoahkkin	täysistunto
eallin	elämä
bargoeallin	työelämä
girkoeallin	kirkkoelämä
kultureallin	kulttuurielämä
servodateallin	yhteiskuntaelämä
čállin	kirjoittaminen
atnin	käyttö
muhtin	muutama
ovdanbuktin	esitys
oastin	osto
sihkkarastin	varmistus
dáruiduhttin	norjalaistuminen
davvin	pohjoisessa
miljon	miljoona
dulkon	tulkkaus
dálon	talollinen
rihkkun	pilkku
geasseguohtun	kesälaidun
dálveguohtun	talvilaidun
veadjemeahttun	mahdoton
sorjjasmeahttun	riippumaton
dárbbašmeahttun	tarpeeton
gohččun	kutsu
dikšun	hoito
aiddo	juuri
dego	kuten
báljo	paljon
dakko	siinä
dákko	täällä
kruvdno	kruunu
konto	tili
duo	tuolla
vuođđo	perusta
sihkar	varma
registtar	rekisteri
finánsaministtar	talousministeri
sámeministtar	saameministeri
riddoministtar	rannikkoministeri
guovloministtar	alueministeri
kulturministtar	kulttuuriministeri
suodjalusministtar	puolustusministeri
áššebábir	asiapaperi
diekkár	tällainen
buhtadas	korvaus
olgguldas	ulkoinen
siskkáldas	sisäinen
lagas	läheinen
evttohas	ehdokas
mielas	mielestä
diehttelas	tietysti
sierranas	erikseen
biras	ympäristö
fágabiras	ammattipiiri
dutkanbiras	tutkimusalue
kulturbiras	kulttuuripiiri
várreáirras	varaedustaja
duođas	todellinen
beales	puolella
soames	muutama
rájis	siitä asti
bealis	puolella
olis	mukaan
rávis	aikuinen
rievdadus	muutos
láhkarievdadus	lakimuutos
bagadus	ohje
čielggadus	selitys
giellanjuolggadus	kielisääntö
váldonjuolggadus	pääsääntö
šiehtadus	sopimus
váldošiehtadus	pääsopimus
ovttasbargošiehtadus	yhteistyösopimus
boazodoallošiehtadus	poronhoitosopimus
buhtadus	korvaus
gielddus	kielto
mielddus	liite
vuođđudus	säätiö
lágádus	kustantamo
čoahkádus	koostumus
eahpádus	epäily
lohpádus	lupaus
mearrádus	määräys
láhkamearrádus	lakipäätös
ovddasvástádus	vastuu
hálddašanovddasvástádus	hallintovastuu
boazodoallohálddahus	poronhoitohallinto
doaimmahus	toimitus
joatkkaoahpahus	jatkokoulutus
vuođđooahpahus	perusopetus
láhkaásahus	määräys
geavahus	käyttö
huksehus	rakennus
hehttehus	este
vásihus	kokemus
erohus	ero
evttohus	ehdotus
láhkaevttohus	lakiehdotus
listaevttohus	listaehdokas
mearrádusevttohus	päätösehdotus
váikkuhus	vaikutus
eavttuhus	ehdotus
ávžžuhus	kehotus
mátkeealáhus	matkailuelinkeino
boazoealáhus	poroelinkeino
vuođđoealáhus	peruselinkeino
lasáhus	lisäys
vásáhus	elämys
dieđáhus	tiedote
preassadieđáhus	lehdistötiedote
stuorradiggedieđáhus	hallituksen selonteko eduskunnalle
jahkedieđáhus	vuosikertomus
jus	jos
váidalus	valitus
mánáidsuodjalus	lastensuojelu
hástalus	haaste
váldohástalus	päähaaste
bálvalus	palvelu
sosiálabálvalus	sosiaalipalvelu
dearvvašvuođabálvalus	terveyspalvelu
dulkonbálvalus	tulkkipalvelu
láhkaárvalus	lakiehdotus
maŋemus	viimeinen
oainnus	näkyvä
oainnus	näköala
stáhtus	status
ovddastus	edustus
ođastus	uudistus
museaođastus	museouudistus
vuođustus	perusta
guolástus	kalastus
nuppástus	muutos
julggaštus	julistus
eamiálbmotjulggaštus	alkuperäiskansajulistus
álgoálbmotjulggaštus	alkuperäiskansajulistus
beroštus	huoli& kiinnostus
ráŋggáštus	rangaistus
dieđus	tietysti
vuođus	perusta
várás	takia
eanadat	maasto
ovttadat	yksikkö
doalloovttadat	toimintayksikkö
mánáidgárdefálaldat	lastentarhatarjonta
oahppofálaldat	opetustarjonta
bálvalusfálaldat	palvelutarjonta
viidodat	pinta-ala
riggodat	rikkaus
luondduriggodat	luonnonresurssi
válgaáigodat	vaalikausi
bargiidbellodat	työväenpuolue
opmodat	omistus
sturrodat	suuruus
oahpahusossodat	opetusosasto
servodat	yhteiskunta
rievdat	muuttaa& muuntaa
dálkkádat	ilmasto
fierpmádat	verkosto
avádat	vyöhyke
čázádat	vesistö
viggat	yrittää, pyrkiä
mealgat	melko
ovttasbargat	tehdä yhteistyötä
oallugat	monet ihmiset
ollugat	monet ihmiset
čavgat	kireä
guoskat	koskea
máŋggabealat	monipuolinen
guovttegielat	kaksikielinen
bagadallat	ohjata
šiehtadallat	neuvotella
vihkkedallat	pohtia& miettiä
ráđđádallat	neuvotella
logahallat	rekisteröidä
ásahallat	säätää
sisdoallat	sisältää
sisttisdoallat	sisältää
ávkkástallat	hyödyntää& käyttää hyväksi
digaštallat	keskustella
digáštallat	keskustella
biebmat	ruokia
ilbmat	toimeentulo
guohtumat	laidunresurssit
dálveguohtumat	talvilaidun
soahpat	sopia
siskkáldasat	sisäisesti
juksat	taas
eanemusat	eniten
spiehkastat	poikkeama
geavat	käyttää
arvat	paljon
arvat	uskaltaa
geavvat	nousta
sajáiduvvat	sopeutua
ođasmuvvat	uusia
lihkostuvvat	onnistua
nuppástuvvat	muuttua
obbalaččat	yleisesti
ovttajienalaččat	yksimielisesti
aktiivvalaččat	aktiivisesti
lunddolaččat	luonnollisesti
vejolaččat	mahdollisesti
dohkálaččat	kelvollinen
báikkálaččat	paikallisesti
gaskamearálaččat	keskimääräisesti
jahkásaččat	vuotinen
goappašat	molemmat
eaiggáduššat	omistaa
áimmahuššat	ylläpitää
ságaškuššat	keskustella
nákcet	pystyä
muddet	oikoa& korjata
bivdet	pyytää
bágget	pakottaa
njulget	oikoa
čavget	kiristää
čuvget	ilmoittaa
máŋget	monistaa
suddjet	suojella
ráddjet	rajoittaa
goiket	kuivata
čohkket	kerätä
vurket	säilytä
hábmet	hahmota
stipeandaortnet	stipendijärjestelmä
válgaortnet	vaalijärjestelmä
doarjjaortnet	tukijärjestelmä
hálddašanortnet	hallintojärjestelmä
čoahkkinortnet	päiväjärjestys
reguleret	säätää
defineret	määritellä
integreret	integroida
formaliseret	formalisoida
organiseret	järjestää
konkretiseret	konkretisoida
raporteret	raportoida
rekrutteret	rekrytoida
evalueret	arvioida
buoret	miellummin& paremmin
earret	paitsi
sirret	jakaa
várret	varoittaa
stivret	hallita
dásset	tasoittaa
viidáset	eteenpäin
iešguhtet	jokainen
máhttoloktet	nostaa tietomäärä
kártet	kartoittaa
hehttet	estää
gáhttet	katua
luvvet	ratkaista
bláđet	kääntää sivua
ráđđet	neuvoa
čuohcit	vaikuttaa
rievddadit	muuttaa
bagadit	kasvattaa
čielggadit	selittää
juogadit	jakaa
nammadit	nimittää
šiehtadit	sopimus
buhtadit	hyvittää
duhtadit	tyydyttää
eastadit	estää
buvttadit	tuottaa
geahpedit	keventää
fievrredit	kuljettaa
viiddidit	laajentaa
ovddidit	edistää
bajidit	nostaa
guhkidit	pidentää
dáhkidit	taata
vuolidit	alentaa
unnidit	vähentää
eahpidit	epäillä
geahpidit	keventää
fievrridit	kuljettaa
mihtidit	mitata
deaividit	tapahtua
govvidit	kuvata
váidit	valitus
maŋidit	lykätä
gáržžidit	rajoittaa
gieldit	kieltää
siskkildit	sisältää
vuhtiiváldit	ottaa huomioon
vuostáiváldit	ottaa vastaan
divodit	korjata
oččodit	yrittää saada
suokkardit	tutkia
meannudit	käyttäytyä
vuođđudit	perustaa
čiekŋudit	paneutua
navdit	nimittää& pitää
čoavdit	ratkaista
duvdit	tuki
virgádit	nimittää virkaan
beaivádit	päivittää
luobahit	luopua
máhcahit	palauttaa
dagahit	aiheuttaa
vuolggahit	käynnistää
guoskkahit	koskea
doalahit	pitää
olahit	ehtiä
fuolahit	huolehtia
gávnnahit	selvittää
ásahit	järjestää
čilgehit	selittää
bissehit	pysäyttää
vásihit	kokea
heaittihit	lopettaa
gozihit	vahtia
mieđihit	myöntää
jođihit	johtaa
seaguhit	sekoittaa
váikkuhit	vaikuttaa
seailluhit	säilyttää
earuhit	erottaa
vuoruhit	priorisoida
bisuhit	säilyttää
deattuhit	painottaa
muittuhit	muistuttaa
eavttuhit	ehdottaa
čuoččuhit	väittää
bálkáhit	vuokrata
bajit	ylä-
guhkit	pidempi
álkit	helppo
guoddalit	valittaa
váidalit	valittaa
vuovdalit	markkinoida
suodjalit	suojella
bálvalit	palvella
vuolláičállit	allekirjoittaa
vuolit	alhainen& ala-
čuovvolit	seurata
čuovvulit	seurata
čoahkkanit	kokoontua
hedjonit	heikentyä
ovdánit	kehittyä
geahppánit	keventyä
lassánit	lisääntyä
massit	menettää
ollásit	täydellinen
laktit	monistaa
boktit	herättää
ovdanbuktit	esittää
ovddastit	edustaa
dovddastit	myöntää
oasálastit	osallistua
vuostálastit	vastustaa& protestoida
fátmmastit	syleillä
sihkarastit	varmistaa
sihkkarastit	varmistaa
deattastit	alleviivata
ovttastit	yhdistää
ođastit	uudistaa
váfistit	vahvistaa
dárkkistit	tarkistaa
gárvvistit	valmistaa
dávistit	vastata
einnostit	ennustaa
guolástit	kalastaa
álkidahttit	yksinkertaistaa
movttidahttit	innoittaa
vahágahttit	vahingoittaa
gudnejahttit	kunnia
ođasmahttit	päivittää
nanosmahttit	vahvistaa
ovdánahttit	kehittää
sulastahttit	muistuttaa
buohtastahttit	vertailla
ovttastahttit	yhdistää
aiddostahttit	tarkentaa
ráfáiduhttit	rauhoittaa
muosehuhttit	häiritä
nuppástuhttit	muuttaa
fuomášuhttit	huomauttaa
válmmaštit	valmentaa
duođaštit	vahvistaa
bealuštit	puolustaa
heađuštit	estää
vuođuštit	perustella
ráŋggáštit	rankaista
láhčit	sijoita
maŋit	taka-
hálddašit	hallita
máinnašit	mainonta
šállošit	valittaa
fuomášit	huomata
earenoamážit	erityisesti
dárkot	tarkistaa
sámeálbmot	saamenkansa
dárkileappot	tarkempi
viidáseappot	edelleen& eteenpäin
rahppot	avautua
orrot	asua
gustot	pitää
buorebut	parantaa
hilgut	hylkiä
njuolgut	suoristaa
rihkkut	rikkoa
doalut	pidot
unnut	vähentyä
lotnut	maksaa
geassut	vetää
guohtut	laidun
boastut	väärin
movt	miten
soalddát	sotilas
eaiggát	omistaja
eanaeaiggát	maanomistaja
eananeaiggát	maanomistaja
boazoeaiggát	poronomistaja
vahát	vahinko
oalát	täydellinen
deaddu	paino
riddu	rannikko
miellaguoddu	mielipide& asenne
muddu	vaihe
olámuddu	ulottuvuus
reaidu	työkalu
neahttasiidu	nettisivu
gáldu	lähde
bággu	pakko
nággu	riita
viessoláigu	vuokra
čálgu	viihtyvyys& hyvinvointi
ovdabargu	esityö
láhkabargu	lakityö
giellabargu	kielityöntekijä
plánabargu	suunnittelutyö
ovddidanbargu	yhteistyö
ovdánahttinbargu	kehitystyö
dásseárvobargu	tasa-arvotyö
ovttasbargu	yhteistyö
doaibmabidju	toimenpide
báhčinšillju	ampumarata
dahku	teko
lohku	luku
boazolohku	poroluku& poromäärä
eanetlohku	enemmistö
unnitlohku	vähemmistö
olmmošlohku	asukasluku
juohku	jako
vuosteháhku	vastustus
sáhkku	sakko
referánsajoavku	referenssiryhmä
sámediggejoavku	saamelaiskäräjien joukko
ulbmiljoavku	tavoiteryhmä
bargojoavku	työryhmä
álbmotjoavku	kansakunta
doallu	toimintayksikkö
eanadoallu	maanviljely
sisdoallu	sisältö
rehketdoallu	tilinpito
gollu	kulu
doaibmagollu	toimikulu
duopmostuollu	tuomioistuin
olu	paljon
giellaguovlu	kielialue
doaibmaguovlu	toiminta-alue
vuotnaguovlu	vuonoalue
mearraguovlu	merialue
sámeguovlu	saamen alue
davviguovlu	pohjoinen alue
hálddahanguovlu	hallintoalue
hálddašanguovlu	hallintoalue
báhčinguovlu	ampuma-alue
guohtunguovlu	laidunalue
riddoguovlu	rannikkoseutu
boazodoalloguovlu	paliskunta& poronhoitoalue
duopmu	tuomio
váikkuhanfápmu	vaikutusvalta
oaidnu	mielipide
ruvdnu	kruunu
atnu	käyttö
joatkkaoahppu	jatkokoulutus
oahpaheaddjeoahppu	opettajanopetus
dárru	norjan kieli
fárru	seurue
máksu	maksu
čoahkkáigeassu	yhteenveto
sisaboahtu	ansio
árbediehtu	perinnetieto
vuoitu	voitto
eaktu	ehto
molssaeaktu	vaihtoehto
beaktu	teho
reantu	korko
áššelistu	asialista
lahttu	jäsen
stivralahttu	johtokunnan jäsen
várrelahttu	varajäsen
miellahttu	jäsen
lihttu	liito
mihttu	mitta
dáhttu	tahto
boasttu	väärä
dásseárvu	tasa-arvo
veahkkeneavvu	apuneuvo
oahpponeavvu	opetusmateriaali
čuovvu	seuraaja
diehtovuođđu	tietokanta
julev	luulaja
gonagasreabbá	kuningasrapu
mihá	melko
linjjá	viiva& linja
linjá	viiva& linja
vuorká	arkisto
sátnevuorká	sanavarasto
dávvirvuorká	museo
dalá	silloinen
almmá	ilman
otná	tämän päivän
gč	ks
juohkehaš	jokainen
